"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5749","0","1","0.000000","0","0"
"/Game/InteractionSystem/Assets/Materials/Master/M_ProcGrid.M_ProcGrid","0","80","84","2","140.542374","0","84"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","49","54","6","53.156830","0","54"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","1.950599","0","2"
"/Game/Neo/NeoMat/matVertexColor.matVertexColor","0","12","12","1","12.457486","0","12"
"","0","1","0","1","0.000000","1","0"
"/Text3D/Materials/M_Text3DOpaqueUnlit.M_Text3DOpaqueUnlit","0","2","2","1","1.787238","0","2"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","242","252","6","645.444092","0","252"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","98","108","6","84.526733","0","108"
"/InterchangeAssets/gltf/M_Default.M_Default","0","250","268","6","770.180420","0","208"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","250","268","6","573.482788","0","268"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","84","84","2","1306.809570","0","44"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","27","29","1","28.437260","0","29"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","910","931","1","638.641541","0","931"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","33","33","1","37.775894","0","33"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","0","30","35","1","37.480038","0","35"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","45","1","50.108849","0","45"
"/Game/InteractionSystem/Assets/Materials/Master/M_Basic.M_Basic","0","63","63","1","74.183403","0","63"
"/Game/InteractionSystem/Assets/Materials/Master/M_Glow.M_Glow","0","2","2","1","2.738220","0","2"
"/Game/Neo/NeoMat/matBridge.matBridge","0","20","20","1","26.512791","0","20"
"/Game/Neo/NeoMat/matWireframe.matWireframe","0","27","28","1","37.615223","0","28"
"/Game/Neo/NeoMat/matField.matField","0","20","20","1","25.397474","0","20"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","33","33","1","39.663574","0","33"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","242","252","6","779.950928","0","252"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","123","1","55.087021","0","123"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","129","129","1","120.982826","0","129"
